id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month,crime,year
40202164,309770629,within an hour,100%,f,0.0,"Long Beach, CA, United States",Long Beach,Long Beach,Other Cities,Long Beach,CA,90813,Los Angeles,"Long Beach, CA",US,United States,33.79002,-118.19308999999998,Boutique hotel,Private room,2,1.0,1.0,1.0,,80.0,,,,,1,$0.00,1,24,today,29,59,89,364,2,100.0,10.0,10.0,10.0,9.0,2.0,148.0,2019.0
13688403,26938554,within a few hours,100%,t,2.0,"Los Angeles, CA, United States",South Robertson,Pico-Robertson,City of Los Angeles,Los Angeles,CA,,Los Angeles,"Los Angeles, CA",US,United States,34.054190000000006,-118.38006000000001,House,Private room,2,1.0,1.0,1.0,,75.0,,,$0.00,$35.00,1,$10.00,31,1125,4 weeks ago,0,0,0,0,27,99.0,10.0,10.0,10.0,10.0,1.76,47879.0,2019.0
33455763,252051117,within an hour,100%,t,1.0,"West Hollywood, CA, United States",Laurel Canyon,Hollywood Hills West,City of Los Angeles,West Hollywood,CA,90069,Los Angeles,"West Hollywood, CA",US,United States,34.09496,-118.38085,Apartment,Entire home/apt,3,1.0,1.0,1.0,,115.0,,,$150.00,$85.00,2,$25.00,30,365,3 weeks ago,4,34,64,64,4,95.0,10.0,9.0,10.0,10.0,0.77,27938.0,2019.0
26674592,200533200,,,f,1.0,"Los Angeles, CA, United States",Mid-Wilshire,Hancock Park,City of Los Angeles,Los Angeles,CA,,Los Angeles,"Los Angeles, CA",US,United States,34.08286,-118.33206000000001,Apartment,Shared room,1,1.0,1.0,0.0,,65.0,,,,,1,$0.00,14,14,17 months ago,30,60,90,365,1,100.0,10.0,10.0,10.0,10.0,0.06,47879.0,2019.0
18074148,14343052,within a day,67%,f,1.0,"Los Angeles, CA, United States",Hollywood,East Hollywood,City of Los Angeles,Los Angeles,CA,90029,Los Angeles,"Los Angeles, CA",US,United States,34.09057,-118.28793999999999,Cottage,Entire home/apt,1,1.0,1.0,1.0,,85.0,,,,$25.00,1,$30.00,30,1125,3 months ago,29,59,89,364,5,100.0,10.0,10.0,10.0,9.0,0.23,47879.0,2019.0
31156685,70287906,within an hour,100%,t,2.0,"Los Angeles, CA, United States",Downtown,Downtown,City of Los Angeles,Los Angeles,CA,90012,Los Angeles,"Los Angeles, CA",US,United States,34.05339,-118.25045,Apartment,Private room,2,1.0,1.0,1.0,,100.0,,,$0.00,$60.00,1,$40.00,1,365,2 weeks ago,9,20,38,306,16,100.0,10.0,10.0,10.0,10.0,4.32,47879.0,2019.0
28868489,209743834,within an hour,100%,f,19.0,"Los Angeles, CA, United States",Mid-City,Arlington Heights,City of Los Angeles,Los Angeles,CA,90019,Los Angeles,"Los Angeles, CA",US,United States,34.044779999999996,-118.32793000000001,House,Shared room,1,1.5,1.0,1.0,,35.0,,,$0.00,$0.00,1,$30.00,1,30,today,14,44,74,163,1,100.0,10.0,8.0,10.0,8.0,0.07,47879.0,2019.0
38981921,102782314,within an hour,100%,f,0.0,"Los Angeles, CA, United States",Woodland Hills/Warner Center,Woodland Hills,City of Los Angeles,Los Angeles,CA,91367,Los Angeles,"Los Angeles, CA",US,United States,34.186,-118.59223,Apartment,Private room,3,1.0,1.0,1.0,,70.0,,,$0.00,$35.00,2,$10.00,1,1125,7 weeks ago,2,32,61,61,3,93.0,9.0,9.0,9.0,9.0,1.45,47879.0,2019.0
19483921,19889815,,,f,1.0,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291,Los Angeles,"Los Angeles, CA",US,United States,33.99508,-118.47918999999999,Apartment,Private room,2,1.0,1.0,1.0,,75.0,,,$0.00,$100.00,1,$0.00,1,6,12 months ago,0,0,0,0,2,90.0,8.0,7.0,9.0,10.0,0.07,47879.0,2019.0
18617918,128635026,within an hour,100%,f,21.0,"Long Beach, CA, United States",Long Beach,Long Beach,Other Cities,Long Beach,CA,90802,Los Angeles,"Long Beach, CA",US,United States,33.76851,-118.18732,Aparthotel,Hotel room,2,1.0,0.0,1.0,,119.0,,,$500.00,$85.00,2,$10.00,1,1125,yesterday,28,55,85,273,64,93.0,10.0,10.0,10.0,10.0,2.14,148.0,2019.0
